sub_id,time_instructions_2_Click Count,toast_1_1,toast_1_2,toast_1_3,toast_1_4,toast_2_1,toast_2_2,toast_2_3,toast_3_1,toast_3_2,toast_3_3,mdmt_1_1,mdmt_1_2,mdmt_1_3,mdmt_1_4,mdmt_2_1,mdmt_2_2,mdmt_2_3,mdmt_2_4,mdmt_3_1,mdmt_3_2,mdmt_3_3,mdmt_3_4,mdmt_4_1,mdmt_4_2,mdmt_4_3,mdmt_4_4,rosas_1_1,rosas_1_2,rosas_1_3,rosas_1_4,rosas_1_5,rosas_1_6,rosas_2_1,rosas_2_2,rosas_2_3,rosas_2_4,rosas_2_5,rosas_2_6,rosas_3_1,rosas_3_2,rosas_3_3,rosas_3_4,rosas_3_5,rosas_3_6,behavioral_trust,gators_scale_4_1,gators_scale_4_2,gators_scale_4_3,gators_scale_4_4,gators_scale_4_5,Distract_extra_q_1,Distract_extra_q_2,Distract_extra_q_3,Distract_extra_q_4,gators_scale_2_1,gators_scale_2_2,gators_scale_2_3,gators_scale_2_4,gators_scale_2_5,intentionality _1,intentionality _2,mind,gators_scale_1_1,gators_scale_1_2,gators_scale_1_3,gators_scale_1_4,gators_scale_1_5,gators_scale_1_6,belief,self_efficacy_influ_1,self_efficacy_influ_2,self_efficacy_influ_3,gators_scale_3_1,gators_scale_3_2,gators_scale_3_3,gators_scale_3_4,gators_scale_3_5,gators_scale_3_6,fluency_2_1,fluency_2_2,fluency_2_3,fluency_1_1,fluency_1_2,fluency_1_3
40,3,5,6,2,5,6,6,6,6,3,2,8,9,8,8,7,9,7,9,7,9,9,9,8,9,6,9,1,9,2,1,9,6,1,9,1,1,9,2,1,1,1,1,1,1,7,5,2,6,5,4,5,5,6,6,4,3,6,3,2,3,2,2,6,6,7,7,2,7,1,2,2,5,5,3,6,2,1,6,7,7,7,7,4,6
11,1,6,6,3,6,6,4,3,6,3,2,6,9,7,5,6,9,8,9,5,9,6,9,7,9,7,9,1,8,7,1,6,7,3,9,1,1,7,4,1,2,2,1,6,1,6,2,5,5,7,6,5,6,6,5,4,5,6,4,6,5,3,4,3,5,5,7,5,6,1,4,4,3,3,5,5,6,1,6,7,7,7,6,6,6
15,1,6,7,7,7,5,6,7,7,6,2,7,8,7,8,6,7,8,8,8,6,7,7,7,8,8,8,7,7,1,6,7,2,3,6,4,1,4,1,2,2,1,1,7,1,7,6,1,6,7,6,7,5,5,7,5,3,5,1,1,5,4,6,5,2,7,7,5,7,1,2,2,4,6,2,6,1,1,6,6,6,6,6,5,5
38,1,5,6,5,6,6,5,4,6,6,2,7,7,7,6,8,7,7,7,7,7,7,7,8,7,7,7,6,7,2,7,7,6,7,7,5,5,7,2,5,7,2,3,5,2,6,6,2,6,6,6,6,6,6,7,6,2,6,4,2,6,6,5,5,4,6,7,4,6,4,4,4,4,5,2,5,3,1,4,6,6,5,6,5,6
35,1,7,6,5,5,5,6,2,5,5,2,7,5,7,5,7,7,7,6,6,5,7,8,8,8,7,6,1,7,1,1,7,1,5,6,2,4,6,2,1,5,2,1,5,1,6,5,1,5,4,5,6,5,6,4,4,4,5,5,2,7,6,5,4,4,6,7,6,6,2,4,4,4,5,1,6,5,1,6,7,5,6,6,7,6
1,1,7,7,2,2,7,1,4,4,2,2,8,9,8,7,7,9,8,9,8,9,8,9,8,9,7,9,1,9,2,2,9,6,1,4,2,1,8,2,1,9,1,1,1,1,7,4,1,6,6,6,5,5,6,3,6,3,7,5,2,2,4,5,2,3,5,7,6,3,1,1,1,1,5,1,6,6,1,6,7,7,6,6,5,7
32,1,6,7,4,6,7,5,4,6,4,2,7,1,7,5,7,1,6,1,4,1,4,1,7,1,1,1,1,6,1,1,1,1,1,2,1,1,6,1,1,2,1,1,1,1,6,5,1,5,7,7,6,6,6,7,4,2,6,5,1,1,1,1,4,1,5,7,2,3,1,2,3,4,7,1,5,1,1,5,7,6,5,7,4,7
37,1,6,3,5,6,6,4,6,6,6,2,7,9,7,9,8,9,6,9,6,9,7,7,6,4,5,3,1,6,1,1,7,3,3,3,3,2,6,1,1,6,1,1,2,2,6,1,2,4,5,5,5,3,6,6,4,2,5,3,2,5,3,1,4,2,6,1,4,6,1,2,2,5,4,2,5,2,1,5,6,6,6,5,2,5
36,1,7,6,7,6,6,5,5,7,6,2,7,9,8,9,7,9,6,9,5,9,6,9,7,5,8,9,2,7,1,1,7,4,2,7,5,4,7,1,1,3,1,1,2,1,7,3,3,6,5,5,6,5,7,6,5,2,7,3,2,1,2,1,3,1,6,7,2,6,1,5,5,5,6,1,6,3,1,6,7,6,6,6,7,5
43,1,6,6,6,6,3,4,5,6,6,2,8,9,8,9,8,9,7,7,7,9,8,9,6,9,7,9,1,8,3,1,7,6,1,3,6,1,7,1,1,7,1,1,1,1,6,5,3,5,4,3,5,6,6,6,4,5,6,3,3,5,3,1,4,3,5,7,2,6,1,2,2,2,3,3,4,3,1,6,6,6,6,6,6,6
39,1,7,7,7,6,6,5,5,7,7,2,7,7,8,7,7,9,8,6,7,9,7,9,7,7,8,9,6,8,5,1,7,6,5,6,6,5,8,3,5,8,2,4,6,1,6,6,5,5,6,7,6,4,6,5,5,5,5,4,5,7,5,3,4,4,5,7,6,3,5,5,5,6,2,5,6,6,1,4,7,7,7,7,7,7
18,1,7,7,6,5,6,6,7,7,5,2,7,9,8,8,8,9,7,9,7,8,8,9,8,9,8,7,4,8,1,4,5,6,3,3,6,2,8,1,2,7,2,2,6,1,6,4,3,6,4,3,6,6,7,7,5,5,6,3,3,6,2,2,5,3,6,7,3,4,2,2,1,1,5,4,6,3,1,6,7,6,4,7,4,7
7,1,7,6,6,6,7,7,7,7,6,2,8,9,8,9,8,9,8,7,8,9,8,9,8,9,8,9,2,9,1,2,9,2,1,8,1,1,9,2,1,9,1,1,2,1,6,5,2,6,4,3,5,6,7,7,6,3,7,5,1,7,2,1,6,1,6,7,5,6,1,5,5,6,6,1,6,1,1,7,7,6,6,7,6,7
65,1,7,5,6,5,5,6,5,6,5,2,7,9,8,9,8,9,7,5,6,9,7,9,6,9,7,9,1,9,1,1,6,4,1,6,2,1,8,1,1,8,1,1,1,1,7,3,1,5,4,3,6,5,6,5,6,5,6,5,1,5,3,1,3,5,5,7,4,5,1,2,2,2,5,2,4,3,1,3,6,6,6,6,5,6
42,1,7,5,7,7,6,7,5,6,3,2,8,9,8,7,7,9,8,6,7,9,8,9,7,9,6,9,5,9,3,1,6,2,1,8,3,1,7,2,1,7,1,1,5,1,7,4,2,6,6,7,3,7,6,4,2,5,6,2,2,5,2,2,5,3,3,7,3,4,1,3,4,5,6,2,5,2,1,2,7,7,6,6,7,7
4,1,6,3,4,6,3,4,3,3,4,2,6,3,7,6,7,5,6,4,6,5,4,4,6,4,4,4,4,7,3,6,7,1,7,7,5,2,6,3,6,7,2,5,6,1,7,5,2,6,4,2,6,6,6,7,6,4,6,5,3,4,6,6,6,2,5,7,5,4,4,3,2,4,6,3,6,5,1,4,4,7,6,5,6,6
60,1,6,7,3,3,6,6,5,7,6,2,7,9,7,9,7,9,6,9,7,9,9,9,7,9,6,9,1,6,1,1,7,4,1,4,1,4,7,3,1,2,1,1,1,1,7,6,1,6,6,2,5,6,6,5,6,5,6,2,1,5,1,1,4,2,5,7,2,4,1,3,1,2,6,1,5,2,1,5,7,6,7,6,3,6
60,1,6,7,2,5,7,7,6,7,3,2,8,5,7,6,7,7,8,8,7,5,7,5,7,9,5,5,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,,,,,7,7,7,7,7,7,7,8,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
45,2,6,6,4,4,4,5,6,6,5,2,6,9,7,5,7,5,8,5,6,4,8,4,8,9,6,9,1,9,1,1,5,2,1,5,1,1,6,1,1,8,1,1,2,1,7,3,5,5,3,4,6,6,6,7,5,3,6,5,2,1,1,1,5,1,5,7,4,7,1,1,1,6,5,2,5,2,1,2,7,7,7,7,7,7
46,1,7,7,6,7,7,6,6,7,6,2,8,2,8,6,8,3,6,5,8,5,7,9,8,7,8,4,1,9,5,1,7,6,1,8,6,1,7,2,1,5,2,1,3,2,7,2,2,6,6,5,6,6,7,5,5,3,7,2,2,4,2,1,3,2,6,7,5,5,1,1,1,1,3,4,5,2,1,7,7,7,7,7,5,7
58,1,6,7,5,6,7,6,2,5,5,2,8,7,8,7,7,5,7,7,8,6,8,4,8,6,6,4,1,7,3,6,7,4,5,6,3,4,8,3,3,8,1,1,3,3,6,5,3,5,4,5,5,5,6,5,6,3,6,5,2,6,5,1,6,3,6,7,4,6,1,2,2,2,6,2,6,3,1,5,7,7,6,6,2,6
55,1,6,4,4,6,7,6,6,5,3,2,8,6,8,9,7,5,8,9,8,8,8,8,8,8,8,9,5,9,1,4,6,3,4,6,3,5,9,1,5,9,1,5,7,1,7,4,2,7,1,1,5,5,6,6,6,1,7,1,1,3,3,3,6,1,6,7,1,6,2,6,4,3,5,1,4,1,1,4,7,6,6,7,7,7
