"start_date","end_date","duration_in_seconds","sub_id","impression_robot","impression_exp","feel_robot","feel_speed","focus","decision","study","feedback","condition"
"2024-11-20 16:39:45","2024-11-20 16:43:30","225","15","I like it because she thinks it is cute.","It was cool","Kind of nervous because it out of her control and was out of sync. It was sometimes faster and slower than her which was not cool. It was not a hard task so not a big deal and thinks it is due to the ability to hear the sounds.","Ok speed. Its just good not to fast not to slow.","Both equally","Tried 100% for easy and 80% for moderate and 60-80% for hard. Found that the robots can do the hard task so it increased her confidence in the robot for the rest of the task. 100% trust for the simple tasks.","How can humans trust robotic arm working with you on a simple task?",NA,0
"2024-11-22 13:13:02","2024-11-22 13:24:22","680","38","some more like it, thought it was interesting, not to say that she strongly likes it but somewhat like it. it will not discomfort me, found some unexpected joy or pleasure or relaxing feelings.","to be honest, it felt a little bit strange because i feel like first the intro was on the robotic study and din't know what was the experiment on and then it fellt like a collaboration study, and before the experimetn and what the expierment acutally was, the colla boration task was interestin and it felt like working with ahuman being to collaborate with you to finish the tasl. In the task it felt like she influenced the robotic arm, it felt in contrast because she felt influenced by the robotic arm because it has a different arm than her. the arm is touching the ball but in human fingers it is touching it or not. so shes influenced by touching it. during the process she felt like she needed to focus on the robitc arm and study it and she followed it during each step and learned from it. she mentioned she felt like in teh task to predict wheterh it can perform sucessfully she felt it would be more clear to note what the obstacle would be like and example of what the obstacle would be like a physical barrier or in teh environment.","it's better than she thought.","sometimes she felt like its' a little bit slower than her but sometimes felt like she kept a similar pace with it, so half and half.","in the task she selected equally but probably a little bit more on the robot. her eyes focused on the robot but her intention was to finish the task.","probably based on her knowledge than on the robot because the easy and medium might be easier to finish but for the hard she first chose the 80% because the hard might be more difficult and she's not sure what the obstacle is and there might be limitations that was her original belief. she thinks it can handle the easy or medium and hard with manifestations. the first random answer more of the experimental design she increased her trust to 100% even though she felt that was not really possible. so then after teh second answer she went back to 80% to show it had limitations.","for the first part about your refresh your ideas about the robitic arm or increase understanding of it, you can work with it as a team rather than a competitior. for the seconf part the realtionship between the trust on the robotic arm and the results of its performance. in humans if we trust we can increase ours or others confidence so its more likeoly to achieve the resutl we want so it's our attitude toward the robot. if you trust it it has a higher possibility of acheiving its goal so it will perform better.","more types of robotic study, its only the robot arm. explore more ways to increase our understanding of it.",1
"2024-11-25 11:03:24","2024-11-25 11:08:01","276","35","liked it. didn't nec dislike. neutral but more positive","liked it.","it was fine. yeah","felt that it was reasonable.","more the robot","started off thinking ab how the robont and I just did task first. so had more trust in it. as wernt on have only seen it in easy, not med or hard. lost confidence. No idea what training it had in later tasks. Were the objects particularly chalenging? If we were to do it again in coordinated effort we would priobably fail.","bug gap begtween original survey and completing this. Thoughti it was elements ofteamwork between robot and human. Now I think it is teams are working toward mutual shared goal. Eg you and robot. to some extent. A lot of personalization of robot","no.",1
"2024-11-26 12:12:06","2024-11-26 12:19:31","445","1","Liked it","Positive, important,","Felt good, felt useful, efficient","Felt it was slow, the robot arm was quick but the instructions it was hearing were slow","At first, the ball moving task, with some attention to the robot but after halfway through the robot","Thought that the robot was efficient and can be programmed in many ways to do things efficiently. High trust. Easy medium 100, hard 80. Grip on the ball of the was not perfect so it could lead to a failure.","'- Human comfort/trust with working with robotic arm
- Human's perceived competency of the arm
- Measuring a humans trust level/perceived competency after an in person vs just computer. 

Want to see if doing robotic task on computer is beneficial vs an in person task especially to see if this can be scalable to the masses","N/A",1
"2024-11-26 14:06:41","2024-11-26 14:09:28","167","32","Liked it","Well organized","Felt technology has come a long way, was interesting to interact with robotic arm","At times it was fast, at times slow. Could tell it had its own internal cues","Robot","Figured tech is great, robots are programmed in a way that they could probably manuever obstacles better than humans.","How ppl perceive robotic arms","n/a",1
"2024-11-26 18:10:52","2024-11-26 18:16:35","342","37","Neutral. She is pretty indifferent","Confusing, especially the computer task","Felt more like observing, rather than actually working with","A little distracting, as her and the robot were moving not in the same speed","RObot","Broadly speaking, she was pretty confident at first. When the first feedback prompt showed up, she realized the robot could fail so became a little less confident. THe second feedback prompt indicated failure, after which her confidence went way down.","Reliability of the robot, and how much ppl trust it. Is the robot intelligent enough for the human?","Position of x was a little awkward to reach some of the further balls, she noted that if we were clear about whether she could twist her torso, that would have made it easier.",0
"2024-12-02 18:05:22","2024-12-02 18:09:47","264","36","I liked the robot, it seemed pretty cool.","I liked it, it's a cool experiment. Working with the robotic arm was a unique task and I liked the experience.","I liked it, it was good. the synchrinocity of it was enjoyable and pleasant.","It was a little slow but over time there was a routine to it so it felt more natural over time. It was awkward at first but then it got more natural.","The robot.","I inferred based on how I saw the robotic arm move and then given barriers added to the situation I thought about how the robotic arm would perform and then I made guesses.","Reliabliity and faith in robotic arms performing tasks probably.","No.",0
"2024-12-03 18:01:57","2024-12-03 18:04:48","171","43","Interesting--was unsure what it would look like, but cool to see it move","Certainly interesting","Fine, she found the robot to be out of sync with her","Kind of slow","Eyes on the robot","Range--at times she would put a lot of trust, sometimes a little trust just to get a wide range","Human interaction with robotic interaction. How we feel working with it/confidence in it","n/a",0
"2024-12-06 13:06:13","2024-12-06 13:14:36","503","39","Yeah it was fine, I didn't find anything wrong with it or working with it.","Thought it was interesting, I enjoyed moving with the robot when I was doing the ball moving task I noticed that I was trying to keep up with the robot and if I was moving too fast I tried to slow down to work as a team rather than us moving as two separate people or things.","It was weird at first but it felt comfortable towards the end and in the middle. Starting out it was kind of weird to me.","I felt like it was a good speed, it felt like not slow like slow in comparison to my arm and what I was doing but it didn't feel like it was going so slowly that it was having trouble with the three two one.","I think like it was changing at certain times. At first I wasnted to make sure that I was picking stuff up right but then I would find myself looking at how the robot was gripping the ball and the speed of the ball so I'd say I was focusing on the robot. When it picked up the ball I was looking to see if there was any way it was slipping out so I was kinda worried about that and attention to the speed and making sure that we were both.","I didn't want to have any trust in it at all because even though I'm a little nervous about some of the tasks a robot could complete I was basing it off how the robot did in the ball moving task and it performed better than I expected in that task so I was trying to have more trust in it. But also knowing that robots can still make mistakes in task so sometimes with the hard level I was going down to less trust. Medium I was mostly trusting.","I was thinking that it was more like does our actions impact what the robot is doing. Because of the speed of the robot arm and how the calibration works. When I started thinking about going the same speed as the robot I was thinking if it's influenced by what I'm doing or if I'm influenced by it. In the obstacle course I felt like it was paying close attention to if I change my answers if it tells me the robot failed do I change my answer to a lower trust or something.","I don't think so.",1
"2024-12-09 16:11:16","2024-12-09 16:17:09","352","18","It was just kind of there and another object in the room. No feelings for it. First time seeing one so a little strange.","Never done an experiment like this before so just kind of relishing being in the room with the robotic arm.","Felt bad because she made a mistake, and she kept thinking about the mistake. She doesn't think the robotic arm made any but is not sure because could not hear the robots cues.","At first she was confused because they started at the same pace but differently synced up as it went on. Made her think more about her time and focus on the sound cues.","At first more on the robot until she made a mistake then focused back to the ball task and then it was equal.","When she was observing the arm she could see where they gripped the ball and it was not always centered so she predicted some small errors. Gave the benefit of the doubt to the robot though generally. As the difficulty progressed into harder obstacles then maybe the robot would have more errors since it would not be able to pinpoint the ball.","Acceptance of robotic arms and perceptions around robotic arms. Also how everyday civilians would feel if robotic arms were integrated within society and if we could rely on them.","For the obstacle task, she got sad when it said the robot failed in bold red letters.",0
"2024-12-10 12:13:21","2024-12-10 12:18:59","337","7","I didnt dislike it, it helped keep me on task and helped to show where i should be at if i was going too quick or too slowly. it kept me on pace.","In terms of the ball moving task, i thought it was keeping me on task, figuring out where im supposed to be and doing. The computer game my guess is that it was meant to gauge predicted outcome based on what i gave it and come up with a statistic based on operator based accuracy compared to actual accuracy","fine, it helped, no feelings toward it other than it helped me out quite a bit","i felt good about it. I felt like it changed slightly throughout the experiment. I made sure even when it was changing to match it","more so the robot but i was doing all of that too drop the ball in","I just threw percentages at it based on nothing just  tended to do 80 for medium and 60 for hard and 100 for easy and switched it up if i did too many in a row. Overall i gave it pretty good chance of completing the tasks well","If i had to guess, it would be the robots ability to perform based on or depending on the statistic of what the operator expected it to do, and general feelings about robotic arms, if you are working along side a robot arm how would you feel doing that","No",1
"2024-12-10 14:16:33","2024-12-10 14:18:40","126","65","Liked it","It was fun","Fun, but the robot was sometimes not in sync, which was interesting","Slow","Both","Based on the size of the robotic arm and her perceptions on if it would pass","Ability to work with robotic arms, or how financial incentives could affect levels of trust","n/a",0
"2024-12-10 18:05:08","2024-12-10 18:09:34","265","42","Liked it, thought it was fun to do the task","Interesting--relevant to technological advancements and even in biomed for prosthetics, etc","Fun, she felt a disconnect-- the arm wasn't following her, she matched its speed","Faster than what the audio was telling her to move. Robot speed was more natural than audio speed, so probably more realistic","Robot","Assumed that robot would be able to do easy task, but was weary on the difficult ones. Not sure how its programmed, but assumed that if it was programmed to move thru the course, it probably could. Never selected 0","How ppl feel about robots, possibly trust, or possible uses, or human-robot interaction/response to them being around","n/a",1
"2024-12-11 16:52:35","2024-12-11 16:57:11","275","4","Somewhat like. Interesting experience","Interesting, surprising","Felt it was reliable, can help with some kinds of work if she has it in the future","Interesting, observed how it moved, it did not move at the same pace as the voice, she felt a little competitive with it","RObot, but probably because the task was easy","At first, trusted in proportion to task difficulty. She later felt it could do more than she thought, so her trust increased. After the prompt that the robot failed, her trust decreased","Human-robot interaction, involved with robot learning and psych stuff.","She is interested in H-R interactions and ai stuff. Maybe she will do something similar",0
"2024-12-13 13:08:40","2024-12-13 13:12:45","245","60","I liked it it was fun it was a good robot very reliable","It was a good experiment I had fun and the computer task I was a little confused at first but I felt like I understood it.","fine the task was simple, nothing dangerous, pretty easy to focus on it and go about your business","it was the same speed and timing as me so i felt comfortable with it","more focused on the robot at least at first and the ball moving task became more automatic at a certain point","for the easy ones it was good at that so i put 100 or 80 for that. I only got feedback for the hard ones. I was pretty much just guessing","when i came in here i thought it was interactions between people and sentiment about it. Now i think its about how faith in robotic arms can affect outcomes","No it was fun",1
"2024-12-16 13:36:50","2024-12-16 13:40:30","220","45","liked it","it was fun","i mean, it was fun. we both accomped task","um, it was funny cause it wasn't moving @ same pace. thinms uits fine","depended. whay point in task. probab,y on ball in box area but other than that it was easy so robot","just used the logic that as things got harder she would be less confident.","if people view robots as tools or collaborator","no",0
"2024-12-16 16:05:12","2024-12-16 16:12:47","454","46","Overall neutral. Beginning it was a little weird seeing its movements but as it went on he got more comfortable with it and felt more like himself. As time went on it felt like another human but overall neutral.","Cool. Getting to see the robot go from 1 to 2 and so on was cool how it knew the cues. At first the interaction with the robot made the participant feel more robotic and he tried to match the ""stiffness"" of the robot. As it went on the movements began to feel way more natural.","Felt confident in the robot arm and felt like it could complete the task in order. Felt like it was a little slow and he could have completed the task in a fraction of the time. However, it was impressive.","Definitely on the slower slide and would have been nice if it moved more to a human pace. Got more synced up with the robot as time progressed.","About 50/50. At the beginning more focused on the robot and as time went on more focused on the balls. At first it was natural curiosity that made him focus on the robot.","His intution was that as long as the robot is properly programmed it will accurately complete tasks. No matter the difficulty the robot had the capability to do it and it was just a matter whether the program was correct. The robot probably has a high level of knowledge in order to complete the task.","A mixture of assessing humans' confidence in robotic arms in their ability to complete tasks. Overall trust in robotic arms and our natural interaction with arms and working with the robot verse a human.","It was cool and he would love to see it in more test environments and more obstacles in person. Cool technology.",1
"2024-12-16 18:03:46","2024-12-16 18:06:17","150","58","easy to work with. didnt really feel any way towards it","easy to complete. the robot was programmed in the right way to do what it needed to do","fine, it was able to complete the task","felt a little slow","robot more","somewhat based on difficu.ty levek somewhat based on info of robot getting task right opr wrong","how humans work with and percieve robot arms","no",1
"2024-12-18 10:32:16","2024-12-18 10:40:59","522","55","I liked it I think it was fun to do the task with the robot. It was strange to focus on the robot and do the ball task, so that was hard to do, but I was impressed with the robot doing it","I was positively surprised because when I saw the robot once, I assumed it would do all of the other balls. I thought it would be more in sync with me, so that was strange with me. I was thinking am I doing something wrong, is it following me or its own sound. So it made me wonder if I was doing something wrong and it was moving the balls differently in how it would grab the balls. I grabbed the balls the same for each one.","it was fun. I didn't feel scared at all. I thought it would do exactly what it was doing. I wasn't sure if it would press on the balls more but it seemed consistent in what it was doing.","The speed of the robot made me self concious like why are you doing it faster or slower. I expected it to be the same as me but it was interesting because it made it more human in a way that it was not doing the same way consistently. I don't know if that is a good or bad thing. In one way its nice that it is more human like by moving differently but I also had an expectation that it would in the same way at the same time for each ball.","both. I was trying hard to look at the robot but it is hard when putting my hand down to make sure it is the right ball. I tried to look more at the robot while I was doing it which is why the speed change didnt help that much. Because it was off on the speed that stopped me from following the robot.","It was kindof arbitrary. At the beginning I was thinking it did well with easy obstacles and I assumed that it would do well with easy obstacles. Once I got one wrong, I thought maybe I shouldn't be that confident. Because I didn't see it do medium and hard obstacles, I didn't know but assumed it would do worse, similar to humans but I was really confident in the easy task. I had a lot of trust in thr robot overall. Didn't choose zero for any of them.","I think it was related to my experiences and trust with the robot and how I think it will do compared to how the robot performs overall. Everything was related more to my own thoughts and intuition. I thought at first it would be more about how well the robot would perform but now I think it is more about my experiences with it.","No other thoughts",0
