sub_id,time_instructions_3_First Click,time_instructions_3_Last Click,time_instructions_3_Page Submit,time_instructions_3_Click Count,control_outcome,control_overall,outcome_robot,outcome_other,Distracting _1,Distracting _2,influence,robot_control,response_bias_3,synchrony_1,synchrony_2,synchrony_3,synchrony_4,synchrony_5,enjoy_task_1,enjoy_task_2,enjoy_task_3,enjoy_task_4,enjoy_task_5,feedback_3_2,feedback_3_4
40,28.231,28.231,28.233,1,2,2,7,4,3,3,1,5,"I think it was about people's ability to work with and gain trust with a robotic arm so much, so they'd be willing to bet on it.",3,3,3,5,5,5,5,6,2,2,"I thought it was interesting as I'd never interacted with a robot arm before I found it a little unnerving but overall, the robot moved well, and I found I trusted what its next movements would be.",1
11,4.429,4.429,4.435,1,3,3,6,4,4,4,5,5,Understanding how much trust people can put into robotic arms with little to no prior knowledge about them,3,3,4,5,4,6,5,5,2,3,"Not bad, really weird how it can move smoothly to each side with no issues",1
15,5.706,5.706,5.712,1,5,6,4,4,3,6,6,5,It is about how/ to what degree human can trust the robotic arm after a simple team task with the robotic arm. ,2,2,2,5,6,6,6,6,5,1,The robotic arm seems out of sync with the almost 80% time. I guess it is because I could hear the voice order in different paces while the robotic arm could not. ,3
38,30.597,30.597,30.603,1,5,4,6,3,4,5,5,5,"I think the research was about the relationship between human trust on the robot arm and the effectiveness/results on the task performed by the robot arm. In human beings, trust on oneself or others can promote the confidence and thus increase the effectiveness. So whether we humanize the robot arm in this situation may be important.",5,3,5,5,5,6,5,5,3,2,"I think it is interesting to interact with the robotic arm in this way as teamwork. You feel that the robotic arm is a good partner to study from and collaborate with. I first feared that my ball will go into the robot's box/area, but when our balls are mixed together in the box, I really felt that we are a team to achieve the same goal.",3
35,4.75,4.75,4.752,1,2,3,5,4,4,4,5,5,"I thought this research was about elements of teamwork (trust, working towards a mutual goal) as it applies to a robot. Working in coordination is an attribute of some teams depending on the type of task. ",5,5,5,6,6,7,6,7,2,2,"When interacting with the robotic arm, I felt I tried to move in sync with it more than it tried to move in sync with me. That may be a consequence of the fact that I assume the robot had done this more than I had and there was a bit more trust for the robot than I would ascribe to myself. ",1
1,30.245,30.245,30.251,1,1,1,7,1,4,1,6,7,I think this research is about individuals' perceptions about a robotic arm's skills/competency. I also believe it is about individuals' level of trust regarding robot arms. I believe it may also have to do with perceptions and trust changing based on an in-person activity with a robotic arm and also a computer/digital activity. ,6,6,7,1,2,4,4,5,2,2,I think social science research with robotics is important as industries move more and more toward using AI and robots. Researchers/we need to know more about how people can be made more comfortable with new advanced technology like robots. ,3
32,5.291,5.291,5.297,1,3,3,5,4,4,4,5,4,How people perceive robotic arms,5,4,5,3,3,7,7,5,1,1,Interesting experience. Technology has come a long way.,1
37,6.675,6.675,6.677,1,1,1,1,2,4,2,2,2,"Reliability on robotic arm, test about how much a participant could rely on a robot",3,3,3,3,6,4,4,4,4,4,The robotic arm feels like a distraction for me while im moving the balls. Also it feels difficult to reach far left balls,1
36,36.726,36.726,36.731,1,2,2,7,3,6,5,6,5,Reliability and trust on robotic arms on certain tasks performed by them,7,7,6,2,1,6,7,6,1,2,I liked the ball moving task where the robotic arm and I were working synchronously to achieve the same goal however in the computer task the robotic arm performed the tasks alone and therefore it wasn't as pleasant.,1
43,7.836,7.836,7.839,1,1,1,7,2,3,3,4,7,Human reliance and trust in robotic technology.,2,2,3,6,6,4,3,4,3,3,It was pretty cool seeing it move!,1
39,29.221,29.221,29.226,1,5,4,7,2,4,5,7,7,"If we think we are helping the robot win, we're more likely to put our trust in them, but if the robot starts losing then we will lose trust in them.",6,6,7,1,1,6,6,6,1,1,"I felt like I was going too fast at some points so I started slowing down to stay at the robots pace. I felt, working as a team, I had more control over my pace and so I made more effort to stay at the robots pace than it should have to make to speed up to match me.",3
18,26.951,26.951,26.957,1,1,2,4,3,4,1,1,2,,2,2,2,7,7,6,6,5,2,2,,3
7,38.997,38.997,39.002,1,4,3,7,4,6,6,7,7,"Overall human confidence in the robotic arm itself, as well as the success and failure of the arm on a given task based on the prediction of the outcome by the human involved. ",7,6,6,2,2,6,5,5,2,2,It helped me to slow/speed up my movements based on where the robotic arm was at in a given step. I also personally felt like it was slowing down and speeding up between steps but I could be completely wrong in that aspect. ,1
65,5.774,5.774,5.779,1,1,2,5,5,1,5,5,4,Capability to work with robotic arms? Effect of financial incentives on level of trust?,3,3,5,5,5,7,7,7,1,1,It was weird and new but fun. I would be down to more interactions like these.,3
42,5.679,5.679,5.681,1,1,1,7,1,3,1,7,6,"Trust in robotics, importance of robotics and their development, what society thinks of robotic arms/limbs, how humans respond to robotic arms",3,2,5,5,6,7,7,7,1,1,"I caught myself speeding up to move at the same speed at the robotic arm, I found it easy to not look at the task myself since the arm was doing the same thing, I didn't feel connected to the arm such as that I don't think it was following me but only what it was pre-programed to do",1
4,13.013,13.013,13.017,1,5,5,4,5,5,5,5,3,Human-Robot Interaction. Maybe involved with some robot learning and psychology. Psychology is also an important part of it.,2,2,2,6,6,5,5,5,3,3,Interesting experience. I would love to do some related research in the future.,1
60,29.999,29.999,30.003,1,2,4,4,3,6,6,5,4,I thought this research was about the compatibility and functionality of robotic arms with individuals.,6,6,6,2,2,7,7,6,1,2,It was a fun experience interacting with the robotic arm. I thought it was a good experience overall.,1
45,25.988,25.988,25.992,1,1,3,4,4,4,3,5,1,Whether or not people view robots are tools or teammates. ,3,3,3,5,5,7,7,5,1,2,I thought it was fun to watch as the robot moves the ball to a different rhythm than me and I was wondering the whole time what did its sound cues sound like. Although after a while my arm started to hurt a bit and I was thinking about how robots don't have to worry about that when doing tasks. ,3
46,4.418,4.418,4.422,1,1,1,7,2,6,5,7,7,"I think this research was gauging human trust in the robotic arm's ability to complete a variety of tasks, ranging from easy to hard. As long as programmed appropriately, I feel the robotic arm would succeed in these tasks on a regular basis. ",3,3,3,5,5,4,4,4,2,3,"I felt as if I was turning into a robot because I had to wait for the same commands as the robotic arm. I'm not sure why, but my instinct was to stiffen up and move in a less ""human-like"" way. This changed as the activity with the arm went on and I felt more comfortable, but it was weird at first. ",1
58,7.79,7.79,7.792,1,1,1,7,3,4,3,6,6,How humans interact with and perceive robotic arms,6,6,6,2,6,5,3,5,3,2,,1
55,26.906,26.906,26.911,1,2,1,3,6,4,3,3,2,"I think it was about our experience with the robotic arm and how much do we trust it to perform well. Since the robot performed really well in the easy task, I assumed it would do well in all other easy tasks and slightly worse in the medium/hard ones. I think the research is more related to our thoughts, trust and experiences as participants rather than just the ability of the arm.",4,3,3,5,5,6,6,6,2,1,I had fun interacting with the robotic arm. It was easy to follow the movements although it made me feel a bit strange when it was moving faster or slower than me. I thought that we would be more in sync.,3
