sub_id ,time_instructions_1_Click Count,interact_robot_1,interact_robot_2,tv_robot,read_robot,tv_robot_2,built_robot,built_robot_explain,worked_robot,worked_robot_explain,gators_scale_1_1,gators_scale_1_2,gators_scale_1_3,gators_scale_1_4,gators_scale_1_5,gators_scale_1_6,robot_tech_1,robot_tech_2,robot_tech_3,robot_tech_4,robot_tech_5,robot_tech_6,gators_scale_2_1,gators_scale_2_2,gators_scale_2_3,gators_scale_2_4,gators_scale_2_5,trust_technology_1,trust_technology_2,trust_technology_3,trust_technology_4,trust_technology_5,trust_technology_6,gators_scale_3_1,gators_scale_3_2,gators_scale_3_3,gators_scale_3_4,gators_scale_3_5,gators_scale_3_6,risk_questions_1,risk_questions_2,risk_questions_3,risk_questions_4,risk_questions_5,risk_questions_6,risk_questions_7,risk_questions_8,gators_scale_4_1,gators_scale_4_2,gators_scale_4_3,gators_scale_4_4,gators_scale_4_5,distract_questions_1,distract_questions_2,distract_questions_3,distract_questions_4,distract_questions_5,self_confidence_1,self_confidence_2,self_confidence_3,self_confidence_4,self_confidence_5,self_confidence_6,gender,gender_4_TEXT,race,race_11_TEXT,student_status,uw_year ,age,hand ,English,int_student
20,1,1,1,1,2,2,2,,2,,6,2,6,7,2,4,3,3,1,2,3,1,4,5,5,4,1,3,3,2,2,3,1,6,1,4,2,1,3,4,2,3,2,2,2,4,3,3,2,5,4,4,4,2,1,3,1,3,5,5,3,5,4,2,,9,,1,3,20,2,1,2
40,1,1,1,1,2,1,2,,2,,2,2,6,7,2,7,4,4,4,2,4,1,5,2,6,3,4,4,4,4,1,4,1,6,2,6,3,1,6,4,1,2,3,1,1,2,1,1,2,6,5,3,4,2,1,5,1,5,3,1,5,6,6,1,,9,,1,2,19,2,1,2
35,1,1,1,1,2,2,2,,2,,4,2,6,7,5,5,3,1,4,4,3,2,4,5,5,6,3,2,1,3,4,2,2,4,4,5,6,1,6,4,1,2,1,2,4,4,2,5,1,5,5,5,3,2,1,4,2,4,3,5,4,1,1,2,,9,,1,4,22,2,1,2
16,2,1,1,1,2,2,2,,2,,5,3,6,7,5,5,4,4,4,2,3,3,4,5,5,4,2,4,4,4,3,3,3,4,2,5,5,1,6,4,2,2,3,2,3,3,3,4,2,4,4,6,2,2,1,4,2,5,4,2,3,2,2,1,,2,,2,1,26,2,1,1
30,1,1,1,1,2,5,2,,2,,6,3,6,7,6,5,4,5,4,2,4,3,6,3,6,5,2,4,4,4,2,4,3,5,3,7,4,1,6,4,3,3,4,3,3,4,4,6,3,6,4,7,3,4,2,5,1,6,5,5,3,4,2,1,,2,,1,1,18,1,1,1
7,3,1,1,1,2,2,2,,2,,5,2,4,7,3,4,4,4,4,1,4,2,6,3,6,6,1,4,4,4,1,4,2,3,2,6,1,1,6,4,5,4,3,3,4,4,3,3,4,6,2,3,4,4,1,5,2,5,4,5,3,2,2,2,,9,,1,1,18,2,1,2
11,1,1,1,1,2,3,2,,2,,6,7,5,7,6,6,3,4,3,3,3,2,3,5,4,4,7,3,3,3,2,3,2,2,6,5,6,1,6,4,4,4,2,2,3,4,2,2,5,4,6,6,2,2,1,4,4,5,5,5,2,4,3,1,,6,,1,1,18,1,1,2
38,1,1,1,1,1,3,2,,2,,4,5,5,7,3,6,3,4,2,3,3,1,4,4,5,3,4,3,3,4,2,3,1,4,3,4,3,1,3,4,4,3,3,3,3,4,4,5,3,5,6,6,3,3,1,4,2,5,5,5,3,2,2,1,,2,,2,5,22,2,1,1
1,1,1,1,1,2,3,2,,2,,4,2,3,7,5,6,4,4,4,2,3,1,5,3,6,5,3,4,4,4,2,4,1,5,3,5,3,1,5,4,2,3,2,1,1,4,2,5,2,5,6,7,4,1,2,4,1,6,7,6,1,1,1,2,,5,,3,7,25,2,1,2
4,2,1,1,1,2,2,2,,2,,6,2,7,7,4,6,4,4,4,3,3,4,5,5,7,5,4,4,4,3,2,4,4,5,3,4,6,1,6,4,4,4,3,3,4,4,3,4,2,5,5,6,3,4,2,4,3,6,4,5,4,3,4,1,,2,,1,4,21,2,1,1
32,1,1,1,1,2,2,2,,2,,5,4,6,7,3,5,3,3,4,3,4,1,3,5,5,3,3,3,4,3,3,3,1,5,3,5,3,1,5,4,4,4,4,2,3,4,2,5,1,5,7,5,5,3,1,5,3,5,5,5,3,3,3,1,,2,,3,7,33,2,1,2
39,1,1,1,1,1,2,2,,2,,5,6,5,7,7,4,2,4,1,4,2,4,4,2,5,5,6,3,3,4,4,2,4,4,5,5,6,1,5,4,4,5,3,5,4,5,4,2,3,6,7,7,4,4,2,5,3,3,6,2,2,6,6,1,,9,,1,1,18,2,1,2
18,1,1,1,1,2,1,2,,2,,5,4,5,7,3,4,3,4,3,2,4,2,5,4,4,5,3,3,5,2,3,3,3,4,4,4,3,1,5,2,1,3,2,1,3,4,2,3,3,5,5,4,2,4,1,4,2,4,5,2,2,5,5,1,,2,,1,4,21,2,1,2
36,1,1,1,1,2,4,2,,2,,3,2,6,7,2,7,4,4,4,2,3,3,6,4,7,5,3,4,4,4,2,4,3,5,1,6,2,1,5,5,4,5,5,5,4,5,5,3,3,6,5,5,4,1,2,5,2,6,5,5,2,2,1,2,,3,,1,1,18,2,1,1
43,1,1,1,1,1,5,2,,2,,5,3,5,7,2,6,3,4,4,3,3,2,5,3,6,2,2,3,3,4,3,3,2,4,4,5,2,1,6,4,3,2,3,3,2,2,3,4,3,6,5,4,3,2,2,4,3,4,3,3,6,6,2,1,,10,,1,3,20,2,1,2
42,3,1,1,1,2,5,2,,2,,6,5,3,7,2,7,5,5,4,2,4,1,6,2,6,2,2,4,4,4,2,4,1,4,1,5,3,1,3,5,5,5,4,4,4,5,4,3,2,6,6,6,5,2,1,5,2,6,1,5,2,3,2,1,,7,,1,4,21,2,1,2
46,2,2,2,1,1,2,2,,2,,5,2,4,7,4,5,4,4,3,2,4,1,6,5,3,1,1,4,2,3,2,4,1,6,3,6,2,1,7,5,5,5,5,5,4,5,4,1,2,6,6,2,3,2,1,5,2,7,7,5,1,2,1,2,,9,,2,1,26,2,1,2
55,2,1,1,1,2,2,2,,2,,5,4,5,7,3,5,4,3,4,2,4,3,5,3,5,3,3,4,4,4,2,4,3,5,3,5,3,1,4,4,4,4,2,4,2,4,3,4,3,5,3,4,4,3,2,3,3,5,5,5,2,4,3,1,,9,,3,2,25,2,1,2
45,1,1,1,1,2,3,2,,2,,4,3,6,7,2,5,4,4,4,2,4,3,5,3,6,5,4,4,5,4,2,4,3,3,5,4,5,1,5,1,1,1,2,1,1,2,1,3,5,5,6,6,4,4,1,5,1,4,3,3,5,5,5,1,,4,,1,1,18,2,1,2
65,1,1,1,1,2,5,2,,2,,4,5,6,7,5,3,3,4,4,4,3,4,4,6,5,4,2,4,4,4,3,3,2,4,3,5,4,1,5,3,2,2,1,2,2,3,1,2,1,5,4,5,2,3,1,4,2,5,2,3,3,3,5,1,,3,,1,3,20,2,1,2
60,1,1,1,1,2,2,2,,2,,3,1,6,7,2,6,4,2,3,2,4,1,6,4,6,3,1,4,2,3,2,4,1,6,2,5,2,1,5,5,4,4,4,5,4,5,5,7,1,6,3,1,4,1,1,5,1,5,3,5,5,3,2,2,,9,,1,1,18,2,1,2
58,1,1,1,1,1,5,2,,2,,6,3,6,7,3,7,5,4,4,2,4,4,6,4,6,4,3,4,4,4,2,4,4,6,3,6,4,1,5,4,3,3,4,2,2,4,3,5,3,5,4,5,4,3,2,5,3,6,6,5,1,2,2,2,,9,,1,1,18,2,1,2
51,1,1,1,1,2,1,2,,2,,7,4,4,7,1,5,4,5,2,2,4,4,6,3,7,5,2,4,4,3,2,4,4,3,3,5,2,1,5,4,3,4,2,2,2,5,3,3,2,5,4,4,4,1,2,4,3,4,4,3,5,3,1,1,,9,,1,4,22,2,1,2
67,1,3,2,1,1,5,2,,2,,2,4,5,7,1,2,3,4,3,4,4,4,5,3,5,2,4,4,3,3,3,4,4,3,1,4,1,1,6,1,1,1,1,1,1,4,1,7,2,6,5,6,4,5,1,5,3,7,5,4,4,1,5,4,Genderfluid,6,,1,1,18,2,1,2
59,1,1,1,1,1,5,2,,2,,7,1,7,7,1,7,5,5,5,1,5,2,7,1,7,5,1,4,5,5,1,4,2,7,1,7,1,1,7,4,2,2,4,3,2,5,2,6,2,7,3,3,5,5,2,5,1,3,3,3,5,6,6,2,,9,,3,6,36,2,1,2
22,1,1,1,1,1,1,2,,2,,6,3,5,7,3,6,4,4,4,2,4,2,5,3,6,2,3,4,2,2,2,4,2,6,2,7,3,1,5,4,3,2,2,2,2,4,2,1,1,6,6,6,2,2,1,5,1,5,5,5,2,3,3,1,,9,,2,2,23,2,1,2
